run_number,subrun_number,event_number
16759,205,10289
16227,35,1758
16227,178,8912
18510,3,157
16023,372,18646
18024,348,17434
17101,26,1317
17070,247,12370
15828,219,10987
15315,62,3142
15315,97,4860
14736,189,9468
16948,46,2304
15910,164,8214
15500,181,9056
17010,44,2208
16947,278,13941
17341,0,24
17341,15,770
15603,85,4254
15120,44,2246
15989,73,3678
15989,519,25983
17011,267,13354
14901,42,2138
16052,252,12640
17965,265,13278
15447,169,8464
16051,213,10654
18516,510,25503
15117,112,5602
18666,170,8520
17248,250,12513
15473,227,11385
16923,330,16502
18481,80,4002
17339,20,1033
18574,413,20662
14354,3,184
15350,240,12021
18666,36,1837
18676,330,16540
17206,221,11065
17875,79,3971
17087,395,19756
15593,118,5913
17224,50,2512
15722,39,1967
14187,106,5337
16719,70,3517
16414,23,1163
14300,139,6998
15603,106,5308
14652,60,3048
17761,34,1718
17761,34,1739
14981,251,12600
16570,57,2887
15111,6,343
16310,136,6829
16310,233,11651
15257,1,51
14157,54,2702
15423,70,3524
15952,52,2613
16746,128,6413
17986,261,13071
17686,321,16065
17984,19,994
17984,22,1123
18266,18,904
18266,18,912
16457,41,2061
16457,41,2071
16262,6,323
17334,206,10309
14874,169,8480
18512,43,2180
14191,56,2801
14191,56,2818
18499,39,1962
16762,40,2011
16453,288,14411
15323,42,2108
18709,128,6430
16950,90,4528
16950,139,6992
15293,62,3101
16785,28,1407
14701,2,148
18685,180,9009
17155,93,4661
17155,132,6635
14611,74,3722
16725,40,2012
14577,12,616
18733,3,183
17009,9,454
14558,116,5830
16846,267,13372
15589,239,11967
16749,149,7469
16850,255,12772
16148,249,12465
15486,166,8308
15486,296,14802
14571,21,1095
15803,100,5014
18903,299,14998
18953,123,6169
18748,163,8182
16727,160,8013
15146,84,4233
17327,102,5117
17985,395,19768
17731,19,982
16355,2,102
15587,31,1553
16946,226,11308
16986,16,803
16267,10,504
18574,311,15581
15377,98,4916
14342,70,3504
15383,78,3904
15963,8,408
16472,45,2280
17240,259,12962
16714,115,5790
18492,359,17997
18499,414,20704
18246,20,1027
17193,12,620
18731,45,2299
15801,269,13461
18955,245,12261
15462,64,3229
15969,146,7321
14270,145,7258
17132,500,25035
14136,30,1506
14136,38,1944
16910,73,3657
16028,41,2064
18031,371,18567
18603,95,4799
17669,39,1978
17669,40,2050
17259,4,206
15961,271,13577
17139,254,12716
15673,10,521
16158,187,9399
16976,32,1607
15360,55,2755
18929,1,79
14270,226,11301
16424,188,9437
16424,238,11921
17013,31,1582
14376,47,2356
14748,1,92
14748,123,6181
17028,233,11652
16172,453,22672
15677,134,6736
16850,112,5629
17080,131,6565
18794,267,13363
18632,66,3305
17265,118,5931
18743,11,561
14736,75,3774
18676,387,19384
16557,85,4289
15339,149,7460
16965,304,15243
17043,94,4727
17965,68,3401
