run_number,subrun_number,event_number
15013,32,1615
18021,421,21088
18021,504,25211
18021,504,25232
17137,22,1114
17137,206,10345
14764,73,3665
17394,197,9898
15167,99,4952
17975,226,11304
17363,2,132
15014,18,923
14597,2,142
14320,19,993
14468,88,4425
18010,130,6512
17251,74,3738
17600,23,1157
17600,72,3608
14455,59,2973
14445,48,2440
17364,46,2305
17364,54,2721
17205,175,8752
14667,47,2362
17655,307,15356
14409,0,33
14216,52,2611
14901,9,462
18005,61,3063
18005,61,3098
14828,87,4393
14828,147,7351
14521,36,1833
17960,27,1398
15117,124,6246
17349,5,285
17349,5,290
14830,42,2107
14464,252,12641
17172,70,3516
17874,31,1566
14920,26,1306
17308,122,6105
14987,12,606
17620,174,8719
14531,57,2888
17641,34,1747
14427,89,4464
14427,251,12585
17655,216,10808
17855,133,6669
14439,15,760
17111,201,10075
14816,17,891
17990,76,3801
17840,39,1955
14921,58,2932
14445,75,3767
14445,121,6056
17116,93,4682
17324,61,3086
14408,25,1268
14408,26,1347
17569,17,868
17478,83,4167
14427,56,2822
17666,41,2056
17492,12,621
17132,408,20435
14269,111,5578
17415,76,3822
17415,292,14619
17415,292,14625
17361,361,18064
17165,17,896
17165,69,3468
14467,204,10233
14270,199,9973
17169,50,2532
17095,102,5119
17619,14,728
17666,175,8776
17358,25,1287
14644,123,6174
14644,220,11028
14623,156,7813
17871,172,8634
14903,128,6430
17992,11,583
17992,16,831
17316,2,116
18039,162,8143
18001,6,341
17087,154,7716
17087,344,17213
17978,132,6632
18007,119,5974
15097,72,3624
14959,187,9385
17199,140,7019
17696,207,10391
14445,15,778
17324,20,1015
14379,60,3049
17210,39,1962
14626,203,10152
17208,2,108
14263,9,478
17379,14,715
14818,21,1069
15154,177,8855
14409,25,1278
17128,55,2782
17128,55,2799
14367,19,960
14367,287,14381
14878,0,47
17641,128,6436
14360,45,2279
17152,23,1158
17561,139,6974
17309,132,6611
14411,5,253
15111,40,2008
17343,55,2778
14417,19,986
14417,20,1001
14468,95,4784
17517,53,2684
17265,205,10269
14235,39,1971
17559,116,5813
17987,164,8227
17544,6,304
17413,107,5355
17413,148,7450
14636,149,7469
14549,61,3068
17335,30,1516
14259,98,4921
14367,224,11243
14367,250,12527
17383,131,6575
14539,55,2770
14692,52,2646
18021,272,13622
14878,192,9615
15111,237,11877
15111,242,12116
17972,183,9192
17972,257,12879
