run_number,subrun_number,event_number,signal_score,weight
6353,41,2051,0.0047088172286748,0.930042
6353,70,3544,0.0054176193661987,0.613143
6565,132,6633,0.0034016747958958,1.05272
6565,132,6645,0.156745359301567,0.936216
6565,134,6733,0.0023226144257932,0.740112
6565,139,6956,0.0071351979859173,1.01592
6565,141,7051,0.0753435790538787,0.960012
6632,36,1803,0.0039873248897492,0.520516542
6748,38,1933,0.0031642864923924,0.940708
6461,94,4742,0.0084030786529183,0.990592
6600,56,2818,0.0060171047225594,1.03738
6506,187,9387,0.0076328380964696,0.636549
6689,44,2211,0.0046448912471532,1.0
6544,344,17214,0.0107469288632273,1.1292
6544,344,17223,0.1493738293647766,4.8215739712e-05
6544,345,17257,0.0040735490620136,1.12276
6647,191,9559,0.0047459229826927,0.518746
6615,146,7346,0.0410413593053817,1.01572
6690,93,4674,0.1401539444923401,0.547987
6533,80,4047,0.0086880596354603,1.00999
6533,84,4220,0.0039510964415967,1.17047
6533,87,4369,0.1633959859609604,0.024753947346
6611,133,6665,0.0081934025511145,0.6261753294
6551,17,857,0.003287642262876,1.04985
6551,22,1115,0.0043303137645125,0.712383
6444,113,5687,0.132205069065094,1.3845248112
6340,130,6502,0.0021493982058018,1.06981
6340,134,6711,0.0069631850346922,0.6557435206
6669,29,1479,0.0076918536797165,1.4320662026
6689,83,4171,0.0036647168453782,0.473977
6689,19,965,0.004686749074608,1.00256
6332,103,5166,0.0045366548001766,1.1477162976
6332,111,5568,0.0076346062123775,1.01914
6333,31,1584,0.0040208911523222,0.953679
6551,178,8906,0.0038445482496172,1.02311
6551,180,9013,0.0018276993650943,1.15879
6551,182,9147,0.0061210286803543,1.14493
6553,144,7222,0.0036450049374252,0.92179
6592,32,1603,0.002612801734358,0.457448
6410,62,3109,0.005004865117371,1.03637
6440,96,4802,0.014726891182363,0.784846
6417,107,5369,0.0144447097554802,0.877913
6417,108,5427,0.2810454964637756,0.990816
6347,179,8984,0.020049562677741,0.98133
6423,170,8536,0.2091357111930847,1.00465
6423,179,8984,0.0030835310462862,0.589536
6571,105,5278,0.0040386724285781,1.00001
6572,15,772,0.0029719844460487,0.6402248510399999
6572,17,857,0.0058666039258241,1.14044
6637,27,1372,0.2399494349956512,0.886336
6637,33,1670,0.0031884673517197,1.02282
6479,60,3048,0.0054702865891158,0.42086348135999996
6575,37,1880,0.0279224533587694,0.824676
6575,42,2105,0.0025351787917315,0.996639
6575,42,2106,0.0023652869276702,1.27006
6603,45,2285,0.0035233544185757,0.455078
6525,54,2744,0.0033612651750445,1.37878
6630,1,56,0.5103824138641357,0.5764347194000001
6630,7,361,0.0059335608966648,1.4753876324
