run_number,subrun_number,event_number,signal_score,weight
7016,127,6393,0.0359807834029197,0.668688992
6999,46,2336,0.0807236433029174,1.1280372996799999
7115,43,2167,0.0035434123128652,0.974064
7020,43,2162,0.030007567256689,1.18080903468
7017,1553,77656,0.0004870565026067,1.07316
7017,946,47329,0.6972768902778625,1.2906705015000002
7017,630,31529,0.0399403870105743,0.938389
7020,45,2272,0.0008890023455023,0.910007
7017,496,24802,0.0259373765438795,0.970749
7016,100,5018,0.0692064613103866,1.09862
7016,100,5034,0.0554643534123897,1.0
7016,100,5047,0.0454453900456428,1.10050015824
7017,89,4451,0.0039209849201142,0.629216
7020,405,20299,0.0038843215443193,1.4504557895999999
7017,1394,69711,0.286881685256958,0.839719
7017,472,23610,0.0270927641540765,1.15982
7020,273,13687,0.0865208059549331,0.564266
7011,96,4848,0.0022282635327428,0.430413
7017,927,46364,0.0112234801054,1.13932
7017,776,38809,0.3050089180469513,0.61974476094
7001,747,37400,0.0144829358905553,0.856015
7011,198,9920,0.0240456238389015,0.964549
7016,101,5051,0.0085400827229022,0.877913
7011,103,5170,0.0041922167874872,1.1363
7001,514,25730,0.0077328560873866,0.527154291
7020,25,1273,0.0802487358450889,1.16334168027
7001,663,33199,0.003616121597588,1.563023362
7020,413,20679,0.1030348539352417,0.298798
7017,1712,85618,0.081779696047306,1.07859
7017,1712,85642,0.0498577021062374,1.07415
7017,30,1515,0.004595966078341,0.73801416192
7017,1187,59388,0.0038560577668249,0.676925
7020,271,13560,0.2345596104860305,1.05433
7020,271,13597,0.0900332406163215,0.990404
7014,1375,68795,0.1422443836927414,0.0004460689024
7017,893,44690,0.0275316163897514,1.01791
7017,893,44698,0.0014208055799826,1.07044
7017,428,21406,0.0162258800119161,1.01668
7017,392,19635,0.003886877791956,0.995472
7017,672,33606,0.0434632077813148,1.0
7017,1644,82208,0.0395072400569915,1.078671012
7017,1644,82243,0.6874895095825195,0.8454783279
7020,194,9749,0.0153246922418475,0.44313800949
7001,335,16775,0.0288182776421308,1.10255
7016,129,6485,0.0357147827744483,1.07879
7017,313,15683,0.0074721244163811,0.59402859722
7017,333,16653,0.0289537459611892,0.00021386078298000002
7017,333,16656,0.0041676829569041,1.0488
7017,325,16277,0.0628022849559784,0.951205
7020,402,20146,0.0274039134383201,0.570824
7016,253,12655,0.0022556935437023,1.36198
7017,505,25288,0.0149772707372903,1.19014457616
7011,141,7053,0.0270889867097139,1.04814
7016,292,14614,0.0115504330024123,1.27688
